Date,ticker,Open,High,Low,close,Volume
2014-05-05T00:00:00.000+05:00,SEARL,183.68,185.0,179.5,182.47,75000.0
2014-05-06T00:00:00.000+05:00,SEARL,182.47,181.25,173.35,175.73,169200.0
2014-05-07T00:00:00.000+05:00,SEARL,175.73,177.99,170.0,172.6,73800.0
2014-05-08T00:00:00.000+05:00,SEARL,172.6,174.9,172.0,172.69,22200.0
2014-05-09T00:00:00.000+05:00,SEARL,172.69,179.9,174.8,175.41,72600.0
2014-05-12T00:00:00.000+05:00,SEARL,175.41,177.3,172.0,172.13,26900.0
2014-05-13T00:00:00.000+05:00,SEARL,172.13,172.35,168.0,169.95,37000.0
2014-05-14T00:00:00.000+05:00,SEARL,169.95,178.44,171.5,178.44,194500.0
2014-05-15T00:00:00.000+05:00,SEARL,178.44,187.0,181.5,185.96,339100.0
2014-05-16T00:00:00.000+05:00,SEARL,185.96,195.25,186.49,187.66,565000.0
2014-05-19T00:00:00.000+05:00,SEARL,187.66,197.04,188.1,195.89,391300.0
2014-05-20T00:00:00.000+05:00,SEARL,195.89,201.5,195.25,196.38,237700.0
2014-05-21T00:00:00.000+05:00,SEARL,196.38,198.5,192.0,193.31,112600.0
2014-05-22T00:00:00.000+05:00,SEARL,193.31,195.5,191.5,192.17,44000.0
2014-05-23T00:00:00.000+05:00,SEARL,192.17,194.84,188.5,189.85,47500.0
2014-05-26T00:00:00.000+05:00,SEARL,189.85,197.9,189.0,196.76,417500.0
2014-05-27T00:00:00.000+05:00,SEARL,196.76,198.1,192.25,192.98,106000.0
2014-05-28T00:00:00.000+05:00,SEARL,192.98,199.0,193.11,196.8,287900.0
2014-05-29T00:00:00.000+05:00,SEARL,196.8,201.0,196.0,197.46,277900.0
2014-05-30T00:00:00.000+05:00,SEARL,197.46,206.7,198.5,204.87,756200.0
2014-06-02T00:00:00.000+05:00,SEARL,204.87,213.5,198.5,208.27,610600.0
2014-06-03T00:00:00.000+05:00,SEARL,208.27,213.15,197.86,205.26,412200.0
2014-06-04T00:00:00.000+05:00,SEARL,205.26,209.75,200.2,203.51,176100.0
2014-06-05T00:00:00.000+05:00,SEARL,203.51,210.0,203.0,204.39,154300.0
2014-06-06T00:00:00.000+05:00,SEARL,204.39,207.0,200.5,202.13,40600.0
2014-06-09T00:00:00.000+05:00,SEARL,202.13,207.95,202.5,202.95,75300.0
2014-06-10T00:00:00.000+05:00,SEARL,202.95,205.45,199.0,202.09,67800.0
2014-06-11T00:00:00.000+05:00,SEARL,202.09,205.5,200.0,201.97,89500.0
2014-06-12T00:00:00.000+05:00,SEARL,201.97,205.09,198.0,199.04,181900.0
2014-06-13T00:00:00.000+05:00,SEARL,199.04,203.4,197.0,197.14,50800.0
2014-06-16T00:00:00.000+05:00,SEARL,197.14,202.49,193.51,195.03,145400.0
2014-06-17T00:00:00.000+05:00,SEARL,195.03,198.4,188.0,188.79,59600.0
2014-06-19T00:00:00.000+05:00,SEARL,190.73,191.9,181.2,183.5,226000.0
2014-06-20T00:00:00.000+05:00,SEARL,183.5,184.5,181.0,181.89,20500.0
2014-06-23T00:00:00.000+05:00,SEARL,181.89,185.45,174.5,182.76,157500.0
2014-06-24T00:00:00.000+05:00,SEARL,182.76,187.0,182.5,183.11,137500.0
2014-06-25T00:00:00.000+05:00,SEARL,183.11,185.99,179.5,180.86,112600.0
2014-06-26T00:00:00.000+05:00,SEARL,180.86,186.0,179.6,182.16,166000.0
2014-06-27T00:00:00.000+05:00,SEARL,182.16,182.5,179.5,180.16,34700.0
2014-06-30T00:00:00.000+05:00,SEARL,180.16,181.0,173.0,174.54,50700.0
